000000 0000 NOP
0****************************************************
000001 0001 NOP
000002 0002 NOP
000003 0003 JMP    $18D4
000827 1A33 MOV    M,A
000828 1A34 INX    H
000829 1A35 INX    D
000830 1A36 DCR    B --- B: 78
000831 1A37 JNZ    $1A32
000832 1A32 LDAX   D
000833 1A33 MOV    M,A
000834 1A34 INX    H
000835 1A35 INX    D
000836 1A36 DCR    B --- B: 77
000837 1A37 JNZ    $1A32
000838 1A32 LDAX   D
000839 1A33 MOV    M,A
000840 1A34 INX    H
000841 1A35 INX    D
000842 1A36 DCR    B --- B: 76
000843 1A37 JNZ    $1A32
000844 1A32 LDAX   D
000845 1A33 MOV    M,A
000846 1A34 INX    H
000847 1A35 INX    D
000848 1A36 DCR    B --- B: 75
000849 1A37 JNZ    $1A32
000850 1A32 LDAX   D
000851 1A33 MOV    M,A
000852 1A34 INX    H
000853 1A35 INX    D
000854 1A36 DCR    B --- B: 74
000855 1A37 JNZ    $1A32
000856 1A32 LDAX   D
000857 1A33 MOV    M,A
000858 1A34 INX    H
000859 1A35 INX    D
000860 1A36 DCR    B --- B: 73
000861 1A37 JNZ    $1A32
000862 1A32 LDAX   D
000863 1A33 MOV    M,A
000864 1A34 INX    H
000865 1A35 INX    D
000866 1A36 DCR    B --- B: 72
000867 1A37 JNZ    $1A32
000868 1A32 LDAX   D
000869 1A33 MOV    M,A
000870 1A34 INX    H
000871 1A35 INX    D
000872 1A36 DCR    B --- B: 71
000873 1A37 JNZ    $1A32
000874 1A32 LDAX   D
000875 1A33 MOV    M,A
000876 1A34 INX    H
000877 1A35 INX    D
000878 1A36 DCR    B --- B: 70
000879 1A37 JNZ    $1A32
000880 1A32 LDAX   D
000881 1A33 MOV    M,A
000882 1A34 INX    H
000883 1A35 INX    D
000884 1A36 DCR    B --- B: 6F
000885 1A37 JNZ    $1A32
000886 1A32 LDAX   D
000887 1A33 MOV    M,A
000888 1A34 INX    H
000889 1A35 INX    D
000890 1A36 DCR    B --- B: 6E
000891 1A37 JNZ    $1A32
000892 1A32 LDAX   D
000893 1A33 MOV    M,A
000894 1A34 INX    H
000895 1A35 INX    D
000896 1A36 DCR    B --- B: 6D
000897 1A37 JNZ    $1A32
000898 1A32 LDAX   D
000899 1A33 MOV    M,A
000900 1A34 INX    H
000901 1A35 INX    D
000902 1A36 DCR    B --- B: 6C
000903 1A37 JNZ    $1A32
000904 1A32 LDAX   D
000905 1A33 MOV    M,A
000906 1A34 INX    H
000907 1A35 INX    D
000908 1A36 DCR    B --- B: 6B
000909 1A37 JNZ    $1A32
000910 1A32 LDAX   D
000911 1A33 MOV    M,A
000912 1A34 INX    H
000913 1A35 INX    D
000914 1A36 DCR    B --- B: 6A
000915 1A37 JNZ    $1A32
000916 1A32 LDAX   D
000917 1A33 MOV    M,A
000918 1A34 INX    H
000919 1A35 INX    D
000920 1A36 DCR    B --- B: 69
000921 1A37 JNZ    $1A32
000922 1A32 LDAX   D
000923 1A33 MOV    M,A
000924 1A34 INX    H
000925 1A35 INX    D
000926 1A36 DCR    B --- B: 68
